1;5;3.5;250
1;6;4;205
1;7;3;194
1;8;3;208
1;9;3;259
1;10;3.25;305
1;11;1.4;74
1;12;2;145
1;13;2.5;203
1;14;1.75;100
1;15;1.9;135
1;16;3.5;217
1;17;3.5;196
1;18;3.5;255
1;19;17.75;1067
1;20;17.8;1018
1;21;6;394
1;22;8.5;680
1;23;8.75;683
1;24;8.9;774
1;25;8.8;737
2;5;3.5;193
2;6;4;389
2;7;3;247
2;8;3;177
2;9;3;180
2;10;3.25;230
2;11;1.4;110
2;12;2;150
2;13;2.5;211
2;14;1.75;140
2;15;1.9;109
2;16;3.5;250
2;17;3.5;205
2;18;3.5;337
2;19;17.75;1562
2;20;17.8;1409
2;21;6;381
2;22;8.5;475
2;23;8.75;557
2;24;8.9;473
2;25;8.8;746
3;5;3.5;175
3;6;3;286
3;7;3;257
3;8;3;228
3;9;3;181
3;10;3.25;230
3;11;1.4;119
3;13;2.5;220
3;14;1.75;131
3;15;1.9;178
3;16;3.5;280
3;19;17.75;1389
3;20;17.8;1643
4;5;3.5;232
4;6;3;161
4;7;3;247
4;9;3;180
4;10;3.25;248
4;11;1.4;102
4;12;2;149
4;13;2.5;244
4;14;1.75;169
4;15;1.9;146
4;16;3.5;223
4;17;3.5;317
4;18;3.5;340
4;21;6;459
5;1;3.5;252
5;2;3.5;273
5;3;3.5;182
5;4;3.5;259
5;6;1.75;112
5;7;1;83
5;8;1.7;168
5;9;1.7;93
5;10;1.75;91
5;11;3;289
5;13;3.05;253
5;14;2.6;258
5;15;2.15;107
5;16;1;93
5;18;1.05;91
5;19;20.6;1223
5;21;8.5;733
6;1;4;310
6;2;4;372
6;3;3.5;232
6;4;3.5;280
6;5;1.75;147
6;7;1.9;183
6;8;2.25;120
6;10;2.8;222
6;11;3.5;316
6;14;3;236
6;16;1.4;122
6;18;1.35;71
7;1;3;204
7;2;3;216
7;3;3;256
7;4;3;189
7;5;1;94
7;6;1.9;120
7;8;1.25;75
7;9;1.35;98
7;10;2;139
7;11;2.5;164
7;14;2.15;203
7;15;1.75;163
7;16;0.9;55
7;17;1.05;54
7;18;1.05;90
7;21;8.5;654
8;1;3;230
8;2;3;219
8;3;3;243
8;4;3;182
8;5;1.7;148
8;6;2.25;204
8;7;1.25;107
8;10;1.8;175
8;11;2;161
8;13;2.5;240
8;14;1.75;154
8;15;1.6;130
8;16;1.75;172
8;17;1.75;165
8;18;1.75;129
8;19;19.5;1074
8;20;19.6;1212
8;21;1.8;93
8;22;10.5;882
8;25;10.65;792
9;1;3;293
9;2;3;259
9;3;3;167
9;5;1.7;135
9;7;1.35;103
9;10;1.8;155
9;11;2;133
9;13;2.5;155
9;14;1.75;172
9;15;1.6;117
9;16;1.75;120
9;17;1.75;143
9;18;1.75;106
9;21;1.8;137
9;22;10.5;553
9;25;10.65;718
10;1;3.25;316
10;2;3.25;248
10;3;3.25;213
10;4;3.25;250
10;5;1.75;150
10;6;2.8;246
10;7;2;164
10;8;1.8;176
10;9;1.8;135
10;11;3.2;252
10;12;3;223
10;13;2;150
10;14;3;275
10;15;2.75;245
10;16;2;162
10;17;2.7;160
10;18;2.6;176
10;21;8;492
11;1;1.4;110
11;2;1.4;126
11;3;1.4;94
11;4;1.4;72
11;5;3;252
11;6;3.5;179
11;7;2.5;185
11;8;2;148
11;9;2;197
11;10;3.2;184
11;12;2.7;208
11;13;2.9;161
11;14;0.9;63
11;15;1.45;104
11;16;2.9;266
11;17;2.9;163
11;18;2.95;169
12;1;2;171
12;2;2;172
12;4;2;113
12;10;3;265
12;11;2.7;161
12;13;1.75;94
12;21;5.4;312
12;25;8.25;447
13;1;2.5;244
13;2;2.5;154
13;3;2.5;229
13;4;2.5;175
13;5;3.05;181
13;8;2.5;229
13;9;2.5;148
13;10;2;128
13;11;2.9;287
13;12;1.75;169
13;14;3;186
13;15;3;150
13;16;3.5;336
13;17;3.5;322
13;18;3.5;225
13;21;6.4;337
13;22;9.25;573
13;25;9.3;831
14;1;1.75;130
14;2;1.75;123
14;3;1.75;122
14;4;1.75;102
14;5;2.6;135
14;6;3;249
14;7;2.15;183
14;8;1.75;143
14;9;1.75;167
14;10;3;220
14;11;0.9;54
14;13;3;219
14;15;1;69
14;16;2.5;215
14;17;2.55;151
14;18;2.45;238
15;1;1.9;164
15;2;1.9;170
15;3;1.9;156
15;4;1.9;102
15;5;2.15;191
15;7;1.75;115
15;8;1.6;108
15;9;1.6;146
15;10;2.75;195
15;11;1.45;109
15;13;3;238
15;14;1;56
15;16;2.05;126
15;17;2.05;191
15;18;2.1;150
15;21;7.5;406
16;1;3.5;267
16;2;3.5;246
16;3;3.5;278
16;4;3.5;305
16;5;1;84
16;6;1.4;124
16;7;0.9;53
16;8;1.75;102
16;9;1.75;148
16;10;2;155
16;11;2.9;277
16;13;3.5;300
16;14;2.5;133
16;15;2.05;156
16;17;0.75;58
16;18;0.8;60
16;19;20.6;1869
16;21;8.9;880
16;25;11.8;654
17;1;3.5;261
17;2;3.5;245
17;4;3.5;203
17;7;1.05;52
17;8;1.75;102
17;9;1.75;91
17;10;2.7;211
17;11;2.9;252
17;13;3.5;268
17;14;2.55;136
17;15;2.05;162
17;16;0.75;52
17;19;20.6;1083
18;1;3.5;180
18;2;3.5;198
18;4;3.5;338
18;5;1.05;104
18;6;1.35;76
18;7;1.05;75
18;8;1.75;109
18;9;1.75;170
18;10;2.6;207
18;11;2.95;218
18;13;3.5;242
18;14;2.45;150
18;15;2.1;147
18;16;0.8;65
18;21;9.05;794
19;1;17.75;1688
19;2;17.75;1735
19;3;17.75;954
19;5;20.6;1349
19;8;19.5;1220
19;16;20.6;1811
19;17;20.6;1999
19;20;1.5;125
19;21;12.25;837
19;22;9.6;674
19;23;8.5;603
19;24;9.2;779
19;25;9.3;521
20;1;17.8;927
20;2;17.8;1473
20;3;17.8;980
20;8;19.6;1088
20;19;1.5;86
20;21;12;1117
20;22;9.5;800
20;23;8.45;818
20;24;9.25;734
20;25;9.2;721
21;1;6;414
21;2;6;412
21;4;6;517
21;5;8.5;493
21;7;8.5;805
21;8;1.8;172
21;9;1.8;159
21;10;8;708
21;12;5.4;476
21;13;6.4;450
21;15;7.5;679
21;16;8.9;819
21;18;9.05;715
21;19;12.25;1221
21;20;12;764
21;22;3.5;201
21;23;4.25;274
21;24;4.5;245
21;25;3.3;240
22;1;8.5;665
22;2;8.5;670
22;8;10.5;901
22;9;10.5;916
22;13;9.25;523
22;19;9.6;914
22;20;9.5;923
22;21;3.5;241
22;23;1.75;111
22;24;1.65;89
22;25;1.85;142
23;1;8.75;856
23;2;8.75;796
23;19;8.5;558
23;20;8.45;585
23;21;4.25;359
23;22;1.75;169
23;24;2.15;164
23;25;1.5;119
24;1;8.9;465
24;2;8.9;782
24;19;9.2;731
24;20;9.25;755
24;21;4.5;372
24;22;1.65;106
24;23;2.15;140
24;25;2.5;150
25;1;8.8;472
25;2;8.8;487
25;8;10.65;977
25;9;10.65;1063
25;12;8.25;647
25;13;9.3;740
25;16;11.8;873
25;19;9.3;475
25;20;9.2;915
25;21;3.3;274
25;22;1.85;150
25;23;1.5;119
25;24;2.5;157
