-1.00	-1.00	-1.00	-1.00	3.50	4.00	3.00	3.00	3.00	3.25	1.40	2.00	2.50	1.75	1.90	3.50	3.50	3.50	17.75	17.80	6.00	8.50	8.75	8.90	8.80
-1.00	-1.00	-1.00	-1.00	3.50	4.00	3.00	3.00	3.00	3.25	1.40	2.00	2.50	1.75	1.90	3.50	3.50	3.50	17.75	17.80	6.00	8.50	8.75	8.90	8.80
-1.00	-1.00	-1.00	-1.00	3.50	3.00	3.00	3.00	3.00	3.25	1.40	-1.00	2.50	1.75	1.90	3.50	-1.00	-1.00	17.75	17.80	-1.00	-1.00	-1.00	-1.00	-1.00
-1.00	-1.00	-1.00	-1.00	3.50	3.00	3.00	-1.00	3.00	3.25	1.40	2.00	2.50	1.75	1.90	3.50	3.50	3.50	-1.00	-1.00	6.00	-1.00	-1.00	-1.00	-1.00
3.50	3.50	3.50	3.50	-1.00	1.75	1.00	1.70	1.70	1.75	3.00	-1.00	3.05	2.60	2.15	1.00	-1.00	1.05	20.60	-1.00	8.50	-1.00	-1.00	-1.00	-1.00
4.00	4.00	3.50	3.50	1.75	-1.00	1.90	2.25	-1.00	2.80	3.50	-1.00	-1.00	3.00	-1.00	1.40	-1.00	1.35	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00
3.00	3.00	3.00	3.00	1.00	1.90	-1.00	1.25	1.35	2.00	2.50	-1.00	-1.00	2.15	1.75	0.90	1.05	1.05	-1.00	-1.00	8.50	-1.00	-1.00	-1.00	-1.00
3.00	3.00	3.00	3.00	1.70	2.25	1.25	-1.00	-1.00	1.80	2.00	-1.00	2.50	1.75	1.60	1.75	1.75	1.75	19.50	19.60	1.80	10.50	-1.00	-1.00	10.65
3.00	3.00	3.00	-1.00	1.70	-1.00	1.35	-1.00	-1.00	1.80	2.00	-1.00	2.50	1.75	1.60	1.75	1.75	1.75	-1.00	-1.00	1.80	10.50	-1.00	-1.00	10.65
3.25	3.25	3.25	3.25	1.75	2.80	2.00	1.80	1.80	-1.00	3.20	3.00	2.00	3.00	2.75	2.00	2.70	2.60	-1.00	-1.00	8.00	-1.00	-1.00	-1.00	-1.00
1.40	1.40	1.40	1.40	3.00	3.50	2.50	2.00	2.00	3.20	-1.00	2.70	2.90	0.90	1.45	2.90	2.90	2.95	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00
2.00	2.00	-1.00	2.00	-1.00	-1.00	-1.00	-1.00	-1.00	3.00	2.70	-1.00	1.75	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	5.40	-1.00	-1.00	-1.00	8.25
2.50	2.50	2.50	2.50	3.05	-1.00	-1.00	2.50	2.50	2.00	2.90	1.75	-1.00	3.00	3.00	3.50	3.50	3.50	-1.00	-1.00	6.40	9.25	-1.00	-1.00	9.30
1.75	1.75	1.75	1.75	2.60	3.00	2.15	1.75	1.75	3.00	0.90	-1.00	3.00	-1.00	1.00	2.50	2.55	2.45	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00
1.90	1.90	1.90	1.90	2.15	-1.00	1.75	1.60	1.60	2.75	1.45	-1.00	3.00	1.00	-1.00	2.05	2.05	2.10	-1.00	-1.00	7.50	-1.00	-1.00	-1.00	-1.00
3.50	3.50	3.50	3.50	1.00	1.40	0.90	1.75	1.75	2.00	2.90	-1.00	3.50	2.50	2.05	-1.00	0.75	0.80	20.60	-1.00	8.90	-1.00	-1.00	-1.00	11.80
3.50	3.50	-1.00	3.50	-1.00	-1.00	1.05	1.75	1.75	2.70	2.90	-1.00	3.50	2.55	2.05	0.75	-1.00	-1.00	20.60	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00
3.50	3.50	-1.00	3.50	1.05	1.35	1.05	1.75	1.75	2.60	2.95	-1.00	3.50	2.45	2.10	0.80	-1.00	-1.00	-1.00	-1.00	9.05	-1.00	-1.00	-1.00	-1.00
17.75	17.75	17.75	-1.00	20.60	-1.00	-1.00	19.50	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	20.60	20.60	-1.00	-1.00	1.50	12.25	9.60	8.50	9.20	9.30
17.80	17.80	17.80	-1.00	-1.00	-1.00	-1.00	19.60	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	1.50	-1.00	12.00	9.50	8.45	9.25	9.20
6.00	6.00	-1.00	6.00	8.50	-1.00	8.50	1.80	1.80	8.00	-1.00	5.40	6.40	-1.00	7.50	8.90	-1.00	9.05	12.25	12.00	-1.00	3.50	4.25	4.50	3.30
8.50	8.50	-1.00	-1.00	-1.00	-1.00	-1.00	10.50	10.50	-1.00	-1.00	-1.00	9.25	-1.00	-1.00	-1.00	-1.00	-1.00	9.60	9.50	3.50	-1.00	1.75	1.65	1.85
8.75	8.75	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	8.50	8.45	4.25	1.75	-1.00	2.15	1.50
8.90	8.90	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	-1.00	9.20	9.25	4.50	1.65	2.15	-1.00	2.50
8.80	8.80	-1.00	-1.00	-1.00	-1.00	-1.00	10.65	10.65	-1.00	-1.00	8.25	9.30	-1.00	-1.00	11.80	-1.00	-1.00	9.30	9.20	3.30	1.85	1.50	2.50	-1.00
